ID,SurveySessionID,QuestionID,QuestionName,SectionID,SubmittedAt,Duration,Statement,Value,ColumnIndex,Sentiment
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,10,-2,3,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,37,-1,4,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,25,-1,4,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,23,-1,4,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,41,-1,4,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,9,-1,4,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,1,-1,4,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,28,0,5,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,19,0,5,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,15,1,6,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,20,1,6,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,4,1,6,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,12,1,6,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,6,1,6,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,16,1,6,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,27,1,6,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,33,2,7,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,7,2,7,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,18,2,7,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,32,2,7,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,11,2,7,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,17,2,7,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,5,3,8,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,26,3,8,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,21,3,8,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,39,3,8,Negative
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,30,4,9,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,24,4,9,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,38,4,9,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,13,4,9,Positive
193,40,9,QA3,2,2024-10-05 20:32:28.587590017 +0000 UTC,421,40,5,10,Positive
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,25,-5,0,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,41,-4,1,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,22,-4,1,Negative
255,47,9,QA3,2,2024-10-14 08:32:49.620971423 +0000 UTC,527,36,-4,1,Negative
